온통청년 정책번호,정책명,소관기관,지역,분야,신청상태,기본계획 과제번호,보조금24 서비스ID,보조금24 연결 방식,이어지는 세부사업 코드,이어지는 세부사업명,연결 예산현액(억 원),같은 사업의 다른 등록
20250710005400211161,2025년 군산시 청년기업 인증사업,군산시,전북,취업·일경험,마감,1차 1-1-1,,,,,,
20250716005400211293,2025년 군산시 청년창업플랫폼(청춘미가) 지원사업,군산시,전북,창업·농어업,마감,1차 1-2-5,,,467000020223004E,청년창업플랫폼(청춘미가) 사업,0.04,
20250416005400210710,2025년 달서청년 자격증 응시료 지원사업,기획경제국,대구,취업·일경험,마감,1차 1-1-2,,,347000020243000D,달서청년 자격증 응시료 지원사업,0.56,
20250509005400210806,2025년 대구경북 청년 아카데미,청년여성교육국,대구,참여·권리,마감,1차 5-20-51,,,,,,20250710005400211178
20250116005400210314,2025년 부산 동구 청년 자격증 시험 응시료 지원 사업,경제복지국,부산,취업·일경험,마감,1차 3-11-28,,,,,,
20250113005400210190,2025년 상반기 경기도 학자금 대출이자 지원,미래평생교육국,경기,교육·역량,마감,1차 3-10-23,,,,,,
20250228005400210574,2025년 순창군 대학 진학 축하금 지원,순창군옥천장학회,전북,교육·역량,마감,1차 3-10-23,,,,,,
20250115005400210286,2025년 순천시 대학생 직장 체험,전남광주통합특별시 순천시,전남,취업·일경험,마감,1차 1-1-1,,,,,,
20250829005400211534,2025년 시골청춘 뿌리내림 지원사업,경상북도,경북,창업·농어업,마감,1차 1-2-5,,,,,,
20250618005400211022,2025년 울산광역시 남구 청년도전 지원사업(단기·중기),구청장,중앙,취업·일경험,마감,1차 1-1-1,,,,,,
20251218005400212018,2025년 전세보증금반환보증 보증료 지원사업,경상남도 산청군 미래전략담당관,경남,주거,마감,1차 2-6-13,,,,,,
20250901005400211561,2025년 전세보증금반환보증 보증료 지원사업,기획감사실,경북,주거,마감,1차 2-7-16,,,,,,20260325005400212269
20250221005400210536,2025년 제11회 대구청년주간 개최,대구광역시,대구,정책기반,마감,1차 5-19-50,,,,,,
20250901005400211548,2025년 지역인재채용 인센티브 지원사,기획감사실,경북,취업·일경험,마감,1차 1-1-1,,,,,,
20250425005400210723,2025년 청년 디딤돌 2배 적금 지원사업,강원특별자치도,강원,금융·생활안정,마감,1차 4-13-32,653000000015,이름 대조(신뢰도 높음),6420000202330256 | 4321000202430045,청년 디딤돌 2배 적금 지원사업 | 청년 디딤돌 2배 적금 지원사업,15.73,
20250922005400211781,2025년 청년 면접수당 지원 사업,청년정책담당관,경남,취업·일경험,마감,1차 1-1-1,567000000758,이름 대조(신뢰도 높음),,,,
20250922005400211782,2025년 청년 면접정장 무료대여사업,청년정책담당관,경남,취업·일경험,마감,1차 1-1-1,648000001110,이름 대조(신뢰도 높음),,,,
20250115005400210305,2025년 청년 일자리 지원 프로그램,서귀포시,제주,취업·일경험,마감,1차 1-1-1,,,6500000202630198,청년 일자리 지원사업(성인지예산),6.5,
20250428005400210725,2025년 청년간호사 근속장려금 지원,강원특별자치도,중앙,취업·일경험,마감,1차 1-1-3,,,,,,
20250827005400211524,2025년 청년도전 지원사업,고용노동부,경북,취업·일경험,마감,1차 1-1-1,149200005033,이름 대조(신뢰도 중간),,,,
20250115005400210274,2025년 청년도전지원사업,고용노동부,인천,취업·일경험,마감,1차 1-1-1,149200005033,이름 대조(신뢰도 중간),,,,20260406005400212407
20250719005400211466,2025년 청년도전지원사업(원주시),고용노동부,강원,취업·일경험,마감,1차 1-1-1,149200005033,이름 대조(신뢰도 중간),,,,20260107005400212072
20250708005400211156,2025년 청년문화예술패스 2차 발급,문화체육관광부,대구,문화·건강,마감,1차 4-16-42,137100000239,이름 대조(신뢰도 중간),,,,
20250715005400211253,2025년 청년사회진입 활동지원사업,청년정책과,대구,문화·건강,마감,1차 4-15-39,627000000128,이름 대조(신뢰도 중간),,,,
20250113005400210183,2025년 청년예술인 창작공간 지원사업 입주예술인 공모,창원시,경남,문화·건강,마감,1차 4-16-43,,,,,,
20250901005400211554,2025년 청송군 청년 소모임 지원사업,기획감사실,경북,문화·건강,마감,1차 4-16-42,,,,,,20260325005400212267
20250115005400210303,2025년 취업준비생 경쟁력 강화 지원사업(AI 취업준비),고용센터,제주,취업·일경험,마감,1차 1-1-1,,,,,,
20251117005400211896,2025년 함양군 청년CEO 지원사업,경상남도 함양군 경제복지국 인구정책과,경남,창업·농어업,마감,1차 1-2-4,,,5460000202530009,청년 CEO 지원사업,1.0,
20251117005400211897,2025년 함양군 청년사업자 임차료 지원사업,경상남도 함양군 경제복지국 인구정책과,경남,창업·농어업,마감,1차 1-2-4,,,5460000202430090,청년사업자 임차료 지원,0.38,
20250529005400210880,2025년 화성시 청년정책 아이디어 공모전,복지국,중앙,참여·권리,마감,1차 5-17-45,,,,,,
20250125005400210403,2025년 화성시 청년활동포인트제(1차),복지국,중앙,참여·권리,마감,1차 5-17-45,,,,,,
20250909005400211690,2025년 화성특례시「청년의 날 기념행사」,화성시,중앙,참여·권리,마감,1차 5-20-52,,,,,,
20250901005400211541,2025년도 경북청년예비창업가 육성사업,기획감사실,경북,창업·농어업,마감,1차 1-2-5,,,,,,20260325005400212265
20250108005400210069,2025년도 미래농업대학 스마트농업인 양성 과정,미래농업교육원,강원,교육·역량,마감,1차 3-9-21,,,,,,
20250901005400211557,2025년도 청년 신혼부부 월세 지원사업,기획감사실,경북,주거,마감,1차 2-6-13,,,,,,20260325005400212266
20260408005400212621,2026 [RE:CONNECT] 생성형 AI로 나를 다시 연결하다,전남광주통합특별시,광주,교육·역량,마감,2차 2-5-19,,,,,,
20260331005400212356,2026 경북청년창업지원센터 입주기업 모집공고,경상북도,경북,창업·농어업,마감,2차 1-4-12,,,,,,
20260410005400212666,2026 관광기업지원센터 SNS홍보 서포터즈 모집,전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,
20260429005400212938,2026 광산구 홍보파트너 모집,전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,
20260407005400212571,2026 광주 동구 관광 SNS서포터즈 「광주 날라리」 모집,전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,
20260522005400213211,2026 광주광역시 전략사업별 지역생태계 활성화 사업 「내일을 만드는 청년 직무형 일경험 사업」,전남광주통합특별시,광주,취업·일경험,마감,2차 1-2-5,,,,,,
20260407005400212563,2026 광주콘텐츠코리아랩 콘텐츠 창‧제작 지원사업 「부스터 크리에이터(2단계·3단계)」 모집,전남광주통합특별시,광주,문화·건강,마감,2차 4-14-51,,,,,,
20260407005400212555,2026 광주콘텐츠코리아랩 콘텐츠 창‧제작 지원사업 「주니어 크리에이터」 모집,전남광주통합특별시,광주,문화·건강,마감,2차 4-14-51,,,,,,
20260407005400212562,2026 기획창작스튜디오 프리비즈 콘텐츠 제작지원,전남광주통합특별시,광주,취업·일경험,마감,2차 1-2-5,,,,,,
20260518005400213206,2026 농식품가공창업보육센터 이용자 모집 공고(공유주방 창업팀 1기),전남광주통합특별시,광주,창업·농어업,마감,2차 1-4-12,,,,,,
20260313005400212156,2026 대학생 인턴사업(평택시),경기도 평택시,경기,취업·일경험,마감,2차 1-1-1,,,3910000201630046,대학생 인턴사업,3.38,
20260408005400212586,2026 대한민국 이스포츠 리그(KEL) 참가 지원,경상남도,경남,취업·일경험,상시,2차 1-2-5,,,,,,
20260407005400212568,2026 동구 청년 웰컴 박스,전남광주통합특별시,광주,금융·생활안정,진행중,2차 4-11-38,,,,,,
20260429005400212922,2026 동명청년창작소 [커머스빌딩 START] 참여 교육생 모집,전남광주통합특별시,광주,창업·농어업,마감,2차 1-4-12,,,,,,
20260622005400213243,2026 마음건강상담소 2차 참여자 모집 (접수 마감),전남광주통합특별시,광주,문화·건강,마감,2차 4-13-49,,,,,,20260722005400213289 | 20260408005400212589
20260722005400213289,2026 마음건강상담소 2차 참여자 모집 (접수 마감),전남광주통합특별시,전남,문화·건강,마감,2차 4-13-49,,,,,,20260622005400213243 | 20260408005400212589
20260408005400212589,2026 마음건강상담소 참여자 모집(1차 접수마감),전남광주통합특별시,광주,문화·건강,마감,2차 4-13-49,,,,,,20260722005400213289 | 20260622005400213243
20260615005400213234,2026 북구청춘페스타 추진기획단 모집(~6.14.),전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,20260722005400213280
20260722005400213280,2026 북구청춘페스타 추진기획단 모집(~6.14.),전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,20260615005400213234
20260410005400212663,2026 서울 동아리ON(대학생 동아리 지원),서울특별시 미래청년기획관,중앙,참여·권리,마감,2차 5-15-58,,,,,,
20260413005400212689,2026 시제품 제작 프로그램(예비창업자 지원 과정) 모집,전남광주통합특별시,광주,창업·농어업,마감,2차 1-4-12,,,,,,
20260903005400213368,2026 여수시 청년거리문화한마당 문수대통 시즌2,전남광주통합특별시,전남,참여·권리,상시,2차 5-17-62,,,,,,
20260826005400213352,2026 일상돌봄서비스 사업 이용자 모집,전남광주통합특별시,광주,금융·생활안정,마감,2차 4-11-38,,,,,,
20260903005400213367,2026 전남광주 청년주간 청년페스타: 피파페,전남광주통합특별시,전남,참여·권리,상시,2차 5-17-62,,,,,,
20260513005400213181,2026 전입청년 교통비 지원,강원특별자치도 원주시,강원,문화·건강,마감,2차 4-14-55,419100000007,이름 대조(신뢰도 높음),,,,20250501005400210757
20260428005400212892,2026 전주기업반 취업지원 사업,전북특별자치도 전주시,전북,취업·일경험,마감,2차 1-2-5,,,,,,
20260807005400213325,2026 제4회 멘토러닝톡,전남광주통합특별시,광주,문화·건강,마감,2차 4-13-49,,,,,,
20260722005400213265,2026 지역가치창업가 양성사업,서울특별시 민생노동국 상권활성화과,서울,창업·농어업,마감,2차 1-4-12,,,,,,
20260317005400212182,2026 지역대학 글로벌 무역전문가 양성 사업,경상북도,경북,교육·역량,마감,2차 2-5-19,,,,,,20250828005400211529
20260408005400212629,2026 직업교육훈련 교육생 모집(전액 국비지원),전남광주통합특별시,광주,교육·역량,상시,2차 2-5-19,,,,,,
20260408005400212630,2026 창업컨설팅,전남광주통합특별시,광주,창업·농어업,상시,2차 1-4-12,,,,,,
20260407005400212569,2026 청년 노동인권 파트너즈 모집,전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,
20260313005400212158,2026 청년 문화예술인 문화인턴제 사업(평택시),경기도 평택시 문화국제국,경기,취업·일경험,마감,2차 1-2-5,,,3910000202330169,청년 문화예술인 문화인턴제 사업,0.53,
20260408005400212613,2026 청년 자산관리 주치의제 (1:1 재무상담),전남광주통합특별시,광주,교육·역량,상시,2차 2-5-19,,,,,,
20260706005400213250,"2026 청년 취업교육(N잡/프리랜서, 진로/취업 커리어 개발 교육)",서울특별시 중랑구,서울,교육·역량,마감,2차 2-5-19,,,,,,
20260326005400212282,2026 청년/청소년 참여예산 교육,경기도 평택시,경기,참여·권리,마감,2차 5-15-58,,,,,,
20260429005400212926,2026 청년마을만들기 사업 공모 안내,전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,
20260313005400212157,2026 청년예술 지원사업(평택시),경기도 평택시,경기,문화·건강,상시,2차 4-14-52,,,,,,
20260910005400213398,2026 청년의 날 기념 「제6회 용인청년페스티벌」 개최,경기도 용인시,중앙,참여·권리,진행중,2차 5-17-62,,,,,,
20260522005400213214,2026 청년자율예산 「청년정책실험실」 참여자 모집 공고,전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,
20260313005400212159,2026 평택 문화지대 기반 활성화(찾아가는 콘서트),경기도 평택시 문화국제국,경기,문화·건강,마감,2차 4-14-53,,,,,,
20260313005400212160,2026 평택시 장학관 운영,경기도 평택시 교육국,경기,교육·역량,마감,2차 2-7-24,,,,,,
20260325005400212278,2026 평택시 장학재단 애향장학생(대학생)선발,경기도 평택시 교육국,경기,교육·역량,마감,2차 2-5-19,,,,,,
20260325005400212280,2026 평택시 청년 독서모임 및 프로그램 운영,경기도 평택시 교육국,경기,교육·역량,마감,2차 2-5-19,,,,,,
20260326005400212283,2026 평택시 청년봉사단,경기도 평택시,경기,참여·권리,마감,2차 5-17-62,,,,,,
20260325005400212281,2026 평택시 청년지원센터 청년쉼표 운영,경기도 평택시 기획항만경제실,경기,문화·건강,상시,2차 4-14-55,,,,,,
20260325005400212279,2026 평택청년 취업성공 지원사업,경기도 평택시 기획항만경제실,경기,취업·일경험,진행중,2차 1-1-3,,,3910000202530069,평택청년 취업성공 지원사업 운영,0.22,
20260804005400213319,2026. 「은평 청년 버스킹 페스타」 참가자 모집,서울특별시 은평구,서울,참여·권리,마감,2차 5-17-62,,,,,,
20260407005400212574,2026년  남구 청년도전지원사업,전남광주통합특별시,광주,취업·일경험,상시,2차 1-2-5,,,,,,
20260511005400213178,2026년 5월 가계부소모임-2회차,전남광주통합특별시,광주,금융·생활안정,마감,2차 4-12-44,,,,,,
20260708005400213252,2026년 7월 청년 취업 지원 프로그램 「취업힐링캠프」,전남광주통합특별시,광주,취업·일경험,마감,2차 1-2-5,,,,,,20260722005400213275
20260722005400213275,2026년 7월 청년 취업 지원 프로그램 「취업힐링캠프」,전남광주통합특별시,광주,취업·일경험,마감,2차 1-2-5,,,,,,20260708005400213252
20260407005400212564,2026년 G-유니콘 육성프로그램 참여기업 모집,전남광주통합특별시,광주,창업·농어업,마감,2차 1-4-12,,,,,,
20260407005400212567,2026년 MICE 광주 관광기업 성장단계별 맞춤지원 프로그램 참여사 모집,전남광주통합특별시,광주,창업·농어업,마감,2차 1-4-12,,,,,,
20260722005400213268,2026년 「청년농업인 스마트창농 교육」,전남광주통합특별시,전남,교육·역량,마감,2차 2-6-22,,,,,,
20260619005400213242,2026년 경북 청년창업 지역정착 지원사업 신규참여자 2차 추가모집 공고,경상북도 지방시대정책국 청년정책과,중앙,창업·농어업,마감,2차 1-4-12,,,,,,
20260317005400212170,2026년 경상북도 반학반어 청년지원사업,경상북도 환동해지역본부 어업기술원,중앙,참여·권리,마감,2차 5-15-58,,,,,,
20260806005400213322,2026년 고립 청년 일상회복 지원 사업,전남광주통합특별시,광주,금융·생활안정,마감,2차 4-11-38,,,,,,
20260423005400212870,2026년 고성군 미취업 청년 자격증 응시료 지원,강원특별자치도 고성군,강원,취업·일경험,상시,2차 1-1-1,,,,,,
20260818005400213336,2026년 고흥군 청년 귀어가 정착어장,전남광주통합특별시,전남,취업·일경험,마감,2차 1-1-1,,,,,,
20260408005400212603,2026년 광산구 감자서포터즈 4기 모집,전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,
20260408005400212632,2026년 광산구 구직청년 자격증 취득비용 지원사업,전남광주통합특별시,광주,교육·역량,진행중,2차 2-7-24,,,,,,20260722005400213297
20260722005400213297,2026년 광산구 구직청년 자격증 취득비용 지원사업,전남광주통합특별시,광주,교육·역량,마감,2차 2-7-24,,,,,,20260408005400212632
20260413005400212690,2026년 광산구 청년도전지원사업,전남광주통합특별시,광주,참여·권리,상시,2차 5-17-62,,,,,,
20260909005400213388,2026년 광양시 미혼남녀 만남 행사 「설렘N광양」 참가자 모집,전남광주통합특별시,전남,참여·권리,진행중,2차 5-17-62,,,,,,
20260429005400212919,2026년 광주광역시 외국인 유학생 서포터즈 모집(2026 Gwangju Metropolitan City International Student Supporters Recruitment),전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,
20260407005400212570,2026년 광주광역시 평생교육이용권 신청 접수,전남광주통합특별시,광주,교육·역량,마감,2차 2-7-24,,,,,,
20260429005400212934,2026년 광주광역시청년위원회 운영지원단 모집,전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,
20260408005400212611,2026년 광주청년센터 토닥토닥 상무점 이력서 사진 무료 촬영 서비스,전남광주통합특별시,광주,취업·일경험,상시,2차 1-2-5,,,,,,
20260408005400212599,2026년 구직청년 자격증 취득지원 사업(4월 접수마감),전남광주통합특별시,광주,취업·일경험,마감,2차 1-2-5,,,,,,
20260429005400212913,2026년 구직청년 자격증 취득지원 사업(5월 4일 10:00 모집 예정),전남광주통합특별시,광주,취업·일경험,마감,2차 1-2-5,,,,,,
20260318005400212197,2026년 군포시 신혼부부 및 청년 전월세 보증금 대출이자 지원,경기도 군포시,경기,주거,마감,2차 3-9-30,402000000115,이름 대조(신뢰도 중간),40200002019300EE,신혼부부 및 청년 전월세 보증금 대출이자 지원,1.0,
20260410005400212665,2026년 기술기반 예비창업가 사업화자금지원 모집,전남광주통합특별시,광주,창업·농어업,마감,2차 1-4-12,,,,,,
20260909005400213389,2026년 나주시 청년센터 하반기 「청년희망학교」 강사 모집,전남광주통합특별시,전남,교육·역량,마감,2차 2-7-24,,,,,,
20260408005400212637,2026년 남구 「청년활동 포인트제」 참여자 모집,전남광주통합특별시,광주,참여·권리,상시,2차 5-17-62,,,,,,
20260429005400212927,2026년 당신근처의 광산일자리 지속일자리분야(1기) 참여자 모집,전남광주통합특별시,광주,취업·일경험,마감,2차 1-2-5,,,,,,
20260408005400212627,2026년 동구 소상공인 맞춤형 경영컨설팅,전남광주통합특별시,광주,교육·역량,상시,2차 2-6-22,,,,,,
20260408005400212610,2026년 동구 청년 자율공간 조성 참여 사업자 모집 공고,전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,
20260513005400213182,2026년 맞춤형 예비 창업가 발굴·육성사업 청년창업기업 엑셀러레이팅 및 기업 수요기반 컨시어지 멘토단 모집,전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,
20260429005400212920,2026년 문화예술단체 및 생활예술동아리 지방보조금 지원 모집,전남광주통합특별시,광주,문화·건강,마감,2차 4-14-51,,,,,,
20260427005400212881,2026년 반려동물 전문인력 양성 교육생 모집,전남광주통합특별시,광주,교육·역량,마감,2차 2-6-22,,,,,,
20260724005400213305,2026년 부평 청년주간행사 추진단 모집,인천광역시 부평구 경제환경국 일자리창출과,인천,참여·권리,마감,2차 5-15-58,,,,,,
20260408005400212614,2026년 북구 「청년자율공간 확충」 지원사업 보조사업자 모집,전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,20260408005400212597
20260408005400212597,2026년 북구 「청년자율공간 확충」 지원사업 보조사업자 모집 재공고,전남광주통합특별시,광주,참여·권리,마감,2차 5-17-62,,,,,,20260408005400212614
20260408005400212604,2026년 북구 라이브커머스 지원 참여 소상공인 모집,전남광주통합특별시,광주,창업·농어업,마감,2차 1-4-12,,,,,,20260907005400213374
20260907005400213374,2026년 북구 라이브커머스 지원 참여 소상공인 모집(3차),전남광주통합특별시,광주,창업·농어업,진행중,2차 1-4-12,,,,,,20260408005400212604
20260407005400212575,2026년 빈집(빈점포) 청년창업 채움 프로젝트 (예비)청년창업자 모집,전남광주통합특별시,광주,창업·농어업,마감,2차 1-4-12,,,,,,
20260429005400212928,2026년 삼삼오오 이웃돌봄 참여자 모집,전남광주통합특별시,광주,문화·건강,마감,2차 4-14-51,629000000815,이름 대조(신뢰도 중간),,,,
20260429005400212949,2026년 상반기 경기도 대학생 학자금 대출이자 지원,경기도,경기,교육·역량,마감,2차 2-7-25,641000000664,이름 대조(신뢰도 중간),,,,
20260318005400212206,2026년 상반기 청년독서회 '퇴근 후 한 책 읽기' 참가자 모집,경기도 군포시,경기,문화·건강,마감,2차 4-14-51,,,,,,
20260408005400212593,2026년 상반기(2025년도 2학기) 대학(원)생 학자금 대출이자 지원,전남광주통합특별시,광주,금융·생활안정,마감,2차 4-12-44,O00093700004,이름 대조(신뢰도 중간),,,,
20260408005400212608,2026년 서구 전입 청년 웰컴 박스 지원,전남광주통합특별시,광주,참여·권리,상시,2차 5-17-62,,,,,,
