서비스ID,서비스명,소관기관,분야,지원유형,대상 연령(최소),대상 연령(최대),청년 관련 근거,보조금24 주소
611000019619,희망두배 청년통장,서울특별시,생활안정,기타(상담)||현금,18,36,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/611000019619
611000019620,꿈나래통장,서울특별시,보육·교육,현금,18,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/611000019620
611000019624,자녀출산 무주택가구 주거비 지원,서울특별시,임신·출산,현금,,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/611000019624
611000019626,서울런,서울특별시,보육·교육,기타(교육),6,24,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/611000019626
611000019633,중증장애인 자산형성지원(이룸통장),서울특별시,생활안정,현금,15,39,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/611000019633
611000019635,우먼업 구직지원금,서울특별시,고용·창업,현금,30,49,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/611000019635
626000000104,청년취업 정장 대여서비스 지원(드림옷장),부산광역시,고용·창업,현물,18,39,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/626000000104
626000000116,보호아동자립정착금및대학등록금지원,부산광역시,주거·자립,현금,18,19,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/626000000116
626000000627,(변경·중지·연장 등 )부산광역시 평생함께 청년모두가 주거비 지원,부산광역시,주거·자립,현금,,120,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/626000000627
626000000630,취업연수생,부산광역시,고용·창업,서비스(일자리),18,29,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/626000000630
626000000643,가임력보존지원,부산광역시,보건·의료,현금,19,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/626000000643
626000000648,대학생 기숙사비 지원,부산광역시,주거·자립,현금,18,65,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/626000000648
627000000104,환경공무직 자녀 장학금 지급,대구광역시,보육·교육,현금(장학금),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/627000000104
627000000126,대구광역시 저소득주민 장학금 지원,대구광역시,보육·교육,현금(장학금),16,34,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/627000000126
627000000130,다문화가족 맞춤형 교육 지원,대구광역시,보육·교육,기타(교육),18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/627000000130
